timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-14 00:01,632,1932,4893,,,,1925,626,800,,,378,493,1920,631,519,3267,2452,,4783,,1470,432,1408,,644,,,579,556,1911,4732,510,,4507,1833,1848,4865,493,1844,5169,4746,1926,611,568,5967,1218,5734,1810,,,1726,778,,,1761,,1924,
2026-08-14 00:11,,,4743,,500,419,1890,,,1235,,,493,,,519,3367,2452,764,4783,3832,,432,1408,,644,4364,,,,,4732,510,,4572,,1883,4795,493,1844,5074,4746,1856,611,568,5867,,5614,1810,,,1726,,4549,504,,709,,
2026-08-14 00:12,,,4743,,500,419,1890,,,1235,,,493,,,519,3367,2452,764,4783,3832,,432,,3835,644,4364,,,,,4732,510,,4572,,1883,4795,493,1844,5074,4746,,,568,5867,1258,5614,1850,562,441,,,4549,504,,709,1994,
2026-08-14 00:21,,,4743,,545,,1890,,,1235,,,493,,631,519,3367,2452,764,4783,3832,,432,1408,3835,644,4364,,,,,4732,,,4507,,1883,4795,493,,5074,4746,,,568,5867,1258,,1850,562,441,,,4549,504,,709,1994,
2026-08-14 00:31,,,4743,,545,,1890,,,1235,,,493,,631,519,3367,2452,764,4783,3832,,432,1408,3835,644,4364,,,,,4732,,,4507,,1883,4795,493,1889,5074,4746,,,568,5867,1258,,1850,562,441,,,4549,504,,709,1994,
2026-08-14 00:41,,,4818,,545,439,1925,,,1190,,,,,631,519,3367,2452,764,4783,3887,,,1408,3835,644,4419,,,,,4732,,,4572,1803,1883,4865,493,1889,5169,4821,,,568,5967,1258,5614,1850,562,441,,,4614,504,,,1924,5939
2026-08-14 00:51,,,4818,,545,419,1890,,,1190,,,,,631,519,3367,2452,764,4783,3887,,447,1408,3835,644,4419,,,,,4732,,,4572,1803,1848,4865,493,1889,5169,4821,,,568,5967,1258,,1850,562,441,,,4614,,,,1924,5939
2026-08-14 01:01,,,4893,,545,439,1925,,,1190,664,,,,631,519,3367,2537,764,4783,3887,,447,1408,3835,674,4419,,,,,4732,,,4637,,1883,4935,,1889,,4821,,,568,5967,1218,5734,1850,562,441,,,4614,504,,709,1994,5939
2026-08-14 01:11,,,4893,,545,419,1890,,,1190,644,,493,,631,519,3367,2537,,4783,3887,,447,1408,3835,644,4419,,,,,4732,510,,4637,1803,1883,4935,493,1889,5169,4821,,,568,5967,1218,5734,1850,582,441,,,,,,,1994,5939
2026-08-14 01:21,,,4893,,500,439,,,,1235,644,,493,,631,519,3367,2537,764,4783,3887,,432,1408,3835,644,4419,,,,,4797,,,4702,1833,1883,4935,493,1889,5264,4821,,,568,5967,1218,5854,1850,562,441,,,4679,504,,739,1994,5939
