timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-02 00:01,,1897,5493,,545,479,1890,446,,,378,388,,,,,,554,5143,4382,,,1473,4255,404,5024,1866,,,1881,5252,375,4962,1848,5495,388,,5644,5646,1716,,468,6367,,6574,1890,,351,,344,1641,499,,7244
2026-09-02 00:11,452,1897,5493,,,479,1890,446,,,378,388,,,,,,554,5143,4382,,,1473,4395,,5024,1866,,,1881,5252,375,,1848,5495,388,,5644,5646,1716,,468,6367,,6574,1890,,351,,344,1641,469,1994,7244
2026-09-02 00:21,452,,5568,,,,,461,,504,,388,1680,471,,3467,,554,5143,4437,1320,387,1538,4395,434,5024,,384,391,,5447,,5027,1848,5565,388,1754,5739,5646,,446,468,6367,1538,6574,,422,351,4679,364,1641,499,1994,
2026-09-02 00:31,452,,5568,,,559,,461,,604,,,1720,471,499,3467,2282,554,5143,4437,1345,387,,4535,434,5024,,384,391,,5447,375,5027,1848,5565,388,1754,5739,5646,,446,468,6367,1538,6574,,422,351,4744,364,1681,469,1994,
2026-09-02 00:41,452,,5568,218,,559,,476,,604,,,1720,471,499,3467,2197,,5323,4437,1320,387,1473,4535,434,5024,,369,391,,5447,375,5027,1883,5635,388,1754,5739,5646,,446,468,6367,1538,6574,,422,351,4744,364,1641,529,1994,
2026-09-02 00:51,452,,5643,,,619,1925,476,,,,,,511,499,3467,2282,554,5143,4437,1320,387,1473,4675,404,5134,,384,391,,5447,375,5092,1848,5635,388,1754,5834,5646,,446,468,6367,1538,6574,1890,422,351,4744,344,1681,529,1994,
2026-09-02 01:01,452,,5643,,,619,1925,461,,504,,,1720,511,499,3467,2282,,5323,4437,1320,387,1538,4535,434,5134,,384,391,,5512,375,5092,1883,5635,388,1754,5834,5646,,446,468,6367,1538,6574,1890,422,351,4744,344,1681,529,1994,
2026-09-02 01:11,452,,5643,,,539,1925,461,1325,,,,,511,479,3467,2282,554,5143,4437,1345,387,1538,4675,404,,,384,391,,5512,375,5092,1883,5635,388,1754,5834,5646,,446,468,6367,1538,6574,1890,422,351,4744,,,499,1994,
2026-09-02 01:21,452,,5643,,,,1925,461,1325,,,,1720,471,499,3467,2282,554,5143,4437,1345,387,1538,4535,434,5189,,384,391,,5512,375,5092,1883,5635,388,1754,5834,5646,,446,468,6367,1538,6574,1890,422,351,4744,364,1681,499,1994,
2026-09-02 01:31,452,,5643,,,739,,461,1325,524,,,,471,519,3467,2367,554,5143,4437,1295,387,1538,4535,464,5189,,384,391,,5512,,5027,1883,5565,388,1754,5834,5721,1716,446,488,6367,1538,6574,,422,351,4744,364,1681,499,1994,
2026-09-02 01:41,452,,5643,,,759,1925,476,,544,,,1720,511,519,3467,,,5143,4437,1295,387,1668,4535,524,5244,,384,,,5512,375,5092,1883,5635,388,1754,5834,5721,,446,488,6367,1538,6574,,422,351,4744,364,1681,529,1994,
2026-09-02 01:51,452,,5643,,,759,,476,,544,,388,1680,511,519,3467,2367,554,5143,4437,,387,1538,4535,614,5244,,384,391,,5512,375,5157,1883,5635,388,1754,5834,5721,1716,446,488,6367,1538,6574,,442,351,4809,364,1681,499,1994,
2026-09-02 02:01,452,,5643,,,739,1925,476,1280,564,,,1720,471,519,3467,2282,,5143,4437,1320,387,1538,4535,464,5244,,384,391,,5512,375,5157,,5635,388,1754,5834,5721,,446,488,6367,1538,6574,,442,351,4809,364,1641,499,1994,
2026-09-02 02:11,452,,5643,,,779,1925,,1280,564,,,1720,471,519,3467,2282,,5143,4437,1320,387,1538,4535,494,5244,,384,,,5512,375,5157,,5635,388,1754,5834,5721,,446,488,6367,1538,6574,,442,351,4809,364,1641,499,1994,
2026-09-02 02:21,,,5643,,,799,1925,476,1325,644,,,1680,471,519,3467,2282,,5323,4437,1370,387,1538,4535,524,5244,,384,391,,5512,375,5157,1883,5635,388,1754,5834,5721,,,488,6367,1538,6574,,442,351,4809,364,1641,499,1994,
2026-09-02 02:31,,,5643,,,799,1925,461,1370,664,,,1720,471,499,3467,2367,,,4492,1320,387,1538,4535,434,5244,,384,376,,5512,375,5027,1883,5635,388,1754,5834,5796,1716,446,488,6367,1538,6574,,422,351,4809,344,1681,559,1994,7244
2026-09-02 02:41,452,,5643,,,799,1890,461,1280,664,,,1680,471,499,3467,2367,554,5323,4492,,387,1668,4535,614,5244,,384,376,,5512,375,5027,,5635,388,1754,5834,5796,,,468,6367,1538,6574,,422,351,4809,344,1681,619,1994,
2026-09-02 02:51,452,,5643,,,759,,461,1280,604,,,1680,431,519,3467,2367,,5323,4492,1345,387,1538,4535,704,5244,,384,391,,5512,,4962,1883,5635,388,1754,5834,5796,,446,,6367,1538,6574,,,351,4809,,1641,529,,7244
2026-09-02 03:01,452,,5643,,,799,,476,1280,564,,,1680,431,519,3467,2452,,5323,4492,1345,,1538,4535,704,5244,,384,,,5512,,4962,1883,5635,388,1754,,,,446,488,6367,1538,6574,,442,351,4874,364,1641,529,1994,7244
2026-09-02 03:11,,,5718,,,859,,476,1325,524,,388,1680,511,519,3367,2367,554,5323,4492,1345,387,1603,4395,704,5244,,369,376,,5512,375,,1848,5635,388,1754,5929,5871,,446,468,6367,1538,6574,,442,351,4874,364,1681,589,1994,7389
2026-09-02 03:12,,,5718,,,859,,476,1325,524,,388,1680,511,519,3367,2367,554,5323,4492,1345,387,1603,4395,584,5244,,369,376,,5512,375,,1848,5635,388,1754,5929,5871,,446,468,6367,1538,6574,,442,351,4874,364,1681,559,1994,7244
