timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-11 00:01,527,2352,,218,,,2485,521,,,965,484,338,440,388,1520,,,,2112,,5323,,4052,,,995,222,1148,,644,,1891,,466,2001,5512,480,517,5287,2343,2548,5215,448,2384,,,1961,,528,6067,1498,,2450,502,396,1936,678,,264,,649,1994,6084
2026-09-11 00:11,527,2352,,213,,499,,,,,965,484,,,388,1480,,519,2767,,,,,4052,,,995,,1148,,644,5189,,,466,,5512,480,507,,2343,,5215,448,,5264,,,431,528,6067,,5854,2370,502,,,678,,264,,,1994,6084
2026-09-11 00:12,,,5868,213,500,,,,,5717,,484,,440,,1480,471,519,2767,,,5503,3821,4052,,822,1020,,,3275,644,5189,,369,,,5512,,,5287,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4744,264,,619,1994,6084
2026-09-11 00:22,,,5868,,500,519,,,,5717,,484,,440,,,471,519,2867,2112,519,5503,3821,4052,,822,1020,222,,3415,674,5189,,369,,,5512,,,5287,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4744,264,,679,1994,6229
2026-09-11 00:24,,,5868,,500,519,,,,5717,,484,,440,,,471,519,2867,2112,519,5503,3821,4052,,822,1020,222,,3415,674,5189,,369,,,5512,,,5287,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4744,264,,679,1994,6229
2026-09-11 00:31,,,5868,,500,519,,,,5717,,484,,440,,,471,519,2867,2112,519,5503,3821,4052,,822,1020,222,1148,3415,644,5189,,369,,,5512,,,5287,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4744,264,,679,1994,6229
2026-09-11 00:41,,,5868,,545,,,,,5717,,484,,440,388,,471,519,2867,2112,519,5503,3821,4052,,822,1020,222,1148,3275,644,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 00:42,,,5868,,545,,,,,5717,,484,,440,388,,471,519,2867,2112,519,5503,3821,4052,,822,1020,222,1148,3275,644,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,,,6067,1538,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 00:51,,,5868,,545,,,,,5717,,484,,440,388,,471,519,2867,,,5503,3821,4052,,822,1020,222,,3275,,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,431,,6067,1538,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 00:52,,,5868,,,519,,,,5717,,484,,440,388,,471,519,2867,,624,5503,3821,4052,,822,1020,222,,3415,,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,431,,6067,1538,5854,,,,,,4809,264,,649,1994,6229
2026-09-11 00:54,,,5868,,,519,,,,5717,,484,,440,388,,471,519,2867,,624,5503,3821,4052,,822,1020,222,,3415,,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,431,,6067,1538,5854,,,,,,4809,264,,649,1994,6229
2026-09-11 01:01,,,5868,,545,,,,,5717,,524,,440,388,,431,519,2867,,624,5323,3821,4052,,822,1020,222,,3415,,5189,,369,,,5512,,,5352,,,5215,448,,5264,5571,,431,,6067,,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 01:11,,,5868,,500,,,,,5717,,504,,440,,,471,519,2867,2112,589,5323,3876,4052,,822,1020,222,1148,3275,644,5189,,369,,,5512,,,5417,,,5215,448,,5264,5646,,431,,6067,1538,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 01:12,,,5868,,500,,,,,5717,,504,,440,,,471,519,2867,2112,589,5323,3876,4052,,822,1020,222,1148,3275,644,5189,,369,,,5512,,,5417,,,5215,448,,5264,5646,,431,,6067,1538,5854,,,,,,4809,264,,679,1994,6229
2026-09-11 01:21,,,5868,,545,,,,,5717,965,484,,440,388,,471,519,2867,2112,519,5503,3931,4052,,822,995,,1148,3275,,5189,,369,,,5577,,,5482,,,5215,448,,5264,5646,,431,,6067,1538,5854,,,,,,4809,264,,649,1994,6374
2026-09-11 01:31,,,5868,,545,,,,,5717,,,,440,388,,471,519,2867,,,5503,3931,4052,,822,,222,1148,3275,,,,369,,,5577,,,5482,,,5215,448,,5264,5646,,431,,6067,1538,5854,,,,,,4809,264,,649,,6374
2026-09-11 01:41,,,5868,,500,539,,,,5717,,544,,,388,,471,519,,2112,589,5503,3931,4052,,822,1020,,1148,3415,,5244,,369,,,5577,,,5482,,,5285,,,,5646,,431,,6067,1538,5854,,,,,,4809,264,,769,1994,6229
2026-09-11 01:51,,,5943,,455,539,,,,5717,,544,,440,388,,471,519,,2112,589,,3931,4052,,822,1020,222,,3415,,5244,,369,,,5577,,,5482,,,5355,,,5359,5646,,431,,6067,1538,5854,,,,,,4809,264,,769,1994,6374
2026-09-11 01:52,,,5943,,455,539,,,,5717,,604,,440,388,,471,519,2867,2112,554,,3931,4052,,822,1020,222,,3275,,5244,,369,,,5577,,,5482,,,5355,,,5359,5646,,431,,6067,1538,5854,,,,,,4809,264,,709,1994,6374
2026-09-11 02:01,,,5943,,500,579,,,,5717,,584,,440,388,,471,519,2867,2112,519,5503,3931,4052,,822,1020,222,,3275,,5244,,384,,,5577,,,5482,,,5495,,,5359,5646,,431,,6067,1538,5854,,,,,,4809,264,,769,1994,6374
