timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-18 00:01,,,4818,283,635,419,,,770,1100,684,,478,,,519,,,,4783,3887,1320,,1278,3695,,4364,1891,,,,4862,495,647,4702,,,4935,,1844,5264,4821,1681,536,,6067,1338,5854,,562,396,,758,4549,,,,1994,5649
2026-08-18 00:11,,,,,590,419,1890,551,,1145,,388,478,1840,,519,3367,2537,,4963,,,,1278,,,4419,,,,,4797,,647,4572,1743,1848,4935,448,1844,5264,4821,1681,551,,6067,1338,5854,,,396,,,,,1716,,1994,5558
2026-08-18 00:22,,,4893,,680,439,,551,,1145,744,,478,,591,519,3367,2537,694,4783,3887,,432,1278,3695,644,4419,,,,,,,,4637,,1848,4935,448,1844,5264,4821,1716,551,548,6067,1338,5854,1770,582,396,,,4549,504,1681,709,1994,5939
2026-08-18 00:31,,,4893,,680,439,,551,,1145,744,,478,,591,519,3367,2537,694,4783,3887,,432,1278,3695,644,4419,,,,,,,,4637,,1848,4935,448,1844,5264,4821,1716,551,548,6067,1338,5854,1770,582,396,,,4549,504,1681,709,1994,5939
2026-08-18 00:42,,,4968,,680,,,551,,,704,,493,,591,519,3367,2537,694,4963,3887,,432,1343,3695,674,4419,,,,,4862,495,,4702,,1848,5005,448,1844,5264,4821,1716,551,548,6067,1338,5974,1770,562,396,,,4549,504,1681,679,1994,5939
2026-08-18 00:51,,,4968,,680,,,551,,,,,478,,591,519,3367,2537,,4783,3887,,432,1343,,674,4419,,,,,4862,495,,4702,,1848,5005,448,1844,5359,4821,1716,551,548,6067,1338,5974,1770,562,396,,,4549,504,1681,679,1994,5939
2026-08-18 01:01,,,4968,,680,,,551,,1145,744,,478,,591,519,3367,2537,694,4783,3887,,432,1343,3695,644,4419,,,,,4862,,,4702,1773,1848,5005,463,1844,5359,4821,1681,551,548,6067,1338,5974,1770,562,396,,,4549,504,1681,679,1994,6084
2026-08-18 01:12,,,4968,,635,,,551,,,704,,493,1840,591,519,3367,2537,729,4963,3887,,432,1278,3835,674,4419,,,,,4862,495,,4702,,1848,5005,448,1844,5359,4821,1681,551,548,6067,1498,5974,1770,562,396,,,4614,504,1681,709,1994,5939
2026-08-18 01:21,,,4968,,635,,,551,,,704,,493,1840,591,519,3367,2537,694,4963,3887,,432,1278,3835,614,4419,,,,,4862,495,,,,1848,5005,448,1844,5359,4821,1716,551,548,6067,1498,5974,,562,396,,,4614,504,1681,709,,5939
2026-08-18 01:32,,,4968,,635,,,551,,1145,724,,478,1840,591,519,3367,2537,729,4963,3887,,432,1343,3835,674,4419,,,,,4862,,,4767,,1848,5005,463,1844,5454,4821,1681,551,548,6067,1498,5974,1770,562,396,,,4614,484,1681,,,5939
2026-08-18 01:43,,,4968,,,,,551,,,764,,478,1840,591,519,3367,2537,694,4783,3887,,417,1278,3835,644,4419,,,,,4862,,,4767,,1848,5005,448,1844,5454,4821,1681,551,548,6067,1458,5974,1770,562,396,,,4614,484,1681,,1994,6084
2026-08-18 01:51,,,4968,,,,,551,,1100,764,,,1840,551,519,3367,,,4783,3887,,417,1278,3695,644,4419,,,,,4862,,,4767,,1848,5005,448,1844,5454,4821,1681,551,548,6067,1458,5974,1770,562,396,,,4614,484,1681,,1994,6084
2026-08-18 02:01,,,4968,,680,,,551,,1100,764,,,1840,551,519,3367,,729,4783,3887,,432,1278,3695,674,4419,,,,,4862,,,4767,,1848,5005,448,1844,5454,4821,1681,551,548,6067,1458,5974,1770,562,396,,,4614,484,1681,709,1994,6084
2026-08-18 02:12,,,4968,,680,,,551,,1145,744,,478,1840,591,519,3367,2537,729,4963,3887,,432,1278,3835,614,4419,,,,,4862,495,,4637,,1813,5005,463,1844,5454,4821,1716,551,548,6067,1498,5974,1770,562,396,,,4614,504,1681,679,,5939
2026-08-18 02:31,,,4968,,680,,,551,,,744,,478,1840,591,519,3367,2537,729,4963,3887,,417,1278,,674,4419,,,,,4862,495,,4767,,1813,5005,448,1844,5454,4821,1716,551,548,,1498,5974,,,,,,4614,484,1681,679,1994,5939
2026-08-18 02:41,557,,4968,,635,,,551,,,744,,,1840,551,519,3367,,694,4963,3942,,417,1343,3835,614,4419,,,511,,4862,,,4832,,1848,5005,433,,5454,4821,1716,551,548,6067,1498,5974,1770,582,396,,,4679,484,,709,1994,5939
2026-08-18 02:51,557,,4968,,635,,,566,,1100,724,,,1840,551,519,3267,2537,729,4783,3942,,417,1343,3835,614,4419,,,511,,,495,,4702,,1848,5005,463,,5454,4821,1716,551,548,6067,1458,5974,1770,582,396,,,4744,,,,1994,6084
2026-08-18 03:01,557,,4968,,635,,,551,,1100,724,,478,,551,519,3367,,694,4783,3942,,,1343,3835,614,4419,,,511,,4862,,,4767,,1848,5005,448,1844,5454,4821,1716,551,548,6067,1458,5974,1770,562,396,,,4744,,1681,,,6084
2026-08-18 03:11,557,,4968,,680,,,551,,,764,,,1840,551,519,3267,2537,,,3942,,432,1343,3835,614,4419,,,511,,4862,495,,4767,,1848,5005,448,1844,5454,4821,1716,551,548,6067,1498,5974,1770,582,396,,,4744,504,1681,709,1994,6084
2026-08-18 03:21,557,,4968,,,,,551,,1100,724,,478,,591,519,3267,,729,4963,3942,,417,1343,3835,614,4419,,,511,,4862,,,4767,,1813,5005,433,1844,5454,4821,1716,551,548,6067,1458,5974,1770,562,396,,,4744,484,1681,,1994,5939
2026-08-18 03:31,557,,4893,,680,,,551,,1100,,,,1840,591,519,3367,,694,4783,3942,,432,1278,3695,674,4419,,,511,,4862,495,,4767,,1813,5075,463,,5454,4821,1716,551,548,6167,1498,5974,1730,562,396,,,4744,484,1681,679,1994,6084
2026-08-18 03:41,557,,,,680,419,1855,551,,,,,,1840,551,,3267,2537,,,3942,,432,1278,,,4419,,,,,4862,495,,4702,,,5075,463,1799,5454,4821,1681,551,548,6167,1498,5854,1730,,396,,,4744,,1641,,1994,6229
2026-08-18 03:51,557,,4968,,635,419,,,,,764,,493,1840,551,,3267,,,4783,3942,,417,1278,3835,644,4364,,,511,,4862,,,,,1848,5075,448,,5454,4821,1716,536,548,6167,1498,5854,1730,582,396,,,4744,504,1681,739,1994,6229
2026-08-18 04:01,557,,4968,,590,419,,566,,,744,,478,1840,551,,3267,,,4963,3942,,417,,3835,,4419,,504,,,4797,,,4767,,1813,5075,448,1799,,4821,1716,551,528,6167,1498,5974,1730,582,396,,,4744,504,1641,,1994,6229
2026-08-18 04:11,557,,4968,,725,439,1855,,,1190,804,,,1840,551,,,,,4783,3887,,402,1343,3835,614,4364,,519,,,4862,,,4702,,1813,5075,448,1799,5549,4821,1716,536,,6167,1498,5974,,582,396,,,4809,484,1641,679,,6084
2026-08-18 04:21,557,,4968,,725,,,566,,1190,724,,478,1840,591,519,3367,2537,,4963,3942,,402,1278,3835,644,4419,,,,,,495,,4832,,1813,5075,448,1844,5644,4821,1681,551,548,6167,1458,5974,1730,562,396,,,4809,,1681,,,6084
