timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-07-30 00:01,602,1757,4968,288,,,1610,,,,,493,1720,,,2967,1772,,,3997,1345,432,1148,3135,,4529,1791,534,556,,,510,687,4507,,,4515,478,1709,4884,,1681,581,528,5867,1058,5974,1690,522,441,1726,778,4744,424,1641,709,1924,
2026-07-30 00:11,587,,,,,,,,1190,604,,493,1720,551,519,2967,1857,694,4963,3997,1320,432,,,554,4529,,,,,4732,,,4507,,1743,4515,478,1709,4884,5046,1681,551,528,5867,,,1650,502,,1726,,,,1641,709,1924,5504
2026-07-30 00:21,,1722,5043,,,379,1680,581,1190,,,,1720,591,519,3067,1857,694,4783,3997,,432,1213,3275,554,4529,,,,1641,4732,,,4572,1653,1743,4515,478,1709,4884,5046,,551,528,5867,1058,5974,1650,,456,,,4809,424,1641,709,1924,5504
2026-07-30 00:31,,1722,5043,,,399,,581,1145,604,,,,591,519,3067,1857,694,4783,3997,,,1213,3275,554,4529,,,,1641,4732,510,,4572,1623,1743,4515,478,1709,4979,5046,,,528,5867,1058,5974,,,456,,,4809,,1641,709,,5504
2026-07-30 00:41,,1687,5043,,,419,1645,566,1145,604,,493,1760,591,519,3067,1857,,4963,3997,,432,1213,3275,,4529,,,,1641,4732,,,4637,1623,1708,4515,478,1709,4979,5046,,551,528,5867,1058,5974,1690,,456,,,4809,424,,709,1924,5504
2026-07-30 00:51,,1722,5043,,,419,,581,,604,,493,1760,591,519,3067,1857,694,4963,3997,,432,1213,3275,,4529,,,,1641,4732,,,4637,1593,1673,4515,478,1709,4979,5046,,551,528,5867,1058,5974,1690,,456,,,4809,424,1641,709,1994,5504
2026-07-30 01:01,,1687,5043,,,379,1680,581,1190,604,,493,1760,591,519,3067,1857,694,4783,4052,,432,1213,3275,,4529,,,,1641,4732,510,,4572,1623,1708,4515,478,1709,4979,5046,,551,528,5867,1058,5974,1690,,456,,,4809,424,1641,709,1924,5504
2026-07-30 01:11,,,5043,,,399,1645,581,1235,604,,493,1760,591,499,3067,1942,,4783,4052,,432,1213,3275,554,4529,,,,1611,4732,510,,4637,1623,1708,4515,478,1709,4979,5046,1681,566,528,5867,1058,5974,1690,,,,,4874,424,1641,,,5504
2026-07-30 01:21,,,5043,,,399,1645,566,1235,,,493,1760,591,,3067,1942,694,,4052,,432,1213,3135,554,4529,,,,1611,4732,510,,4637,1623,1708,4515,478,,4979,5121,1681,566,528,5867,1058,5974,1690,,456,,,,424,1641,709,1924,5504
2026-07-30 01:31,,1652,5043,,,399,,566,1235,,,493,1760,551,519,3067,1942,694,4963,4052,,432,1148,,554,4529,,,,1581,4732,,,4637,1653,1708,4515,,1664,4979,5121,1681,551,528,5967,1058,5974,1690,,,,,4939,424,1641,,1924,5504
2026-07-30 01:41,,,5043,,590,419,1680,566,1190,,,493,1760,591,,3067,1857,694,4963,4052,,432,1148,3135,554,4584,,,,,4797,,,4637,1623,1673,4585,478,1709,4979,5121,1681,551,528,5967,1058,5974,1690,,471,,,5004,,1641,,1924,5504
2026-07-30 01:51,,1687,5043,,590,399,1680,,1190,,,493,1760,591,519,3067,1857,694,4783,4052,,432,1213,,554,4584,,,,1581,4797,,,4637,1623,1708,4585,,,,,1646,551,528,5967,1058,5974,1690,,471,,,5004,444,1641,,1924,5359
2026-07-30 02:01,,1687,5043,,,399,,581,1235,,,,,591,519,3067,1857,,4783,4052,,432,1213,3275,,4584,,,,1581,4797,510,,4637,1593,1708,4585,478,1709,5074,5196,1646,566,528,5967,1058,5974,1690,,456,,,5004,444,1601,709,1994,5504
2026-07-30 02:11,,1687,5043,,,419,1680,566,1235,,,,1760,551,519,3067,1857,694,4783,4052,,432,1213,3135,554,4584,,,,,4797,510,,4637,1593,1708,4585,478,1709,5074,5196,,,528,5967,1058,5974,,,456,,,5069,424,1641,,1994,5504
2026-07-30 02:21,,1687,5043,,,399,1645,566,1190,604,,,1760,591,519,3067,1942,694,4783,4052,,432,1213,3275,,4584,,,,,4797,510,,4637,1593,1673,4585,478,1709,5074,5196,,566,,5967,1058,5974,1690,,456,,,5199,424,1641,709,1994,5504
2026-07-30 02:31,,1687,5043,,,399,1680,581,1190,624,,493,1800,591,519,3067,1857,,4963,4052,,432,1213,3275,,4584,,519,,,4797,510,,4572,,1708,4585,463,1709,5074,5196,1646,566,528,5967,1058,5974,1690,,456,,,5199,,1601,,1924,5504
2026-07-30 02:41,,1687,5043,,,399,1680,566,1190,604,,493,1800,591,519,3067,1857,694,4963,4052,1320,,1213,3275,,4584,,,,,4797,,,4637,1593,1708,4585,478,1709,5074,5196,,566,528,5967,1058,,1650,,456,,,5199,424,1641,709,1994,5504
2026-07-30 02:51,,1722,5043,,,379,1680,566,,604,,,1800,551,519,3067,1942,694,4963,4052,,432,1213,3135,554,4584,,,,,4862,510,,4637,1593,1708,4585,,1709,5074,5196,1646,566,528,5967,1058,6094,1690,,456,,,5199,424,,,1924,5504
2026-07-30 03:01,,1722,5043,,590,359,1680,566,1190,,,,1760,551,,3067,1857,694,4783,4052,,432,1213,,,4584,,,,,4862,510,,4572,1593,1708,4585,,1709,5074,5196,1681,566,528,6067,,6094,1690,,456,,,5199,424,1641,,1994,5504
2026-07-30 03:11,,1722,5043,,590,399,1715,566,1190,,,,1760,551,519,3067,1857,694,4963,4052,,432,1148,3275,584,4584,,,,,4862,510,,4572,1593,1708,4515,478,1709,5074,5196,1681,566,528,6067,1058,6094,1690,,456,,,5134,424,,709,1924,5504
2026-07-30 03:21,,1722,5043,,590,399,1715,566,1190,,,,1760,551,519,3067,1857,694,4963,4052,,432,1148,3275,584,4584,,,,,4862,510,,4572,1593,1708,4515,478,1709,5074,5196,1681,566,528,6067,1058,6094,1690,,456,,,5134,424,,709,1924,5504
2026-07-30 03:31,,1687,5043,,,379,1645,566,1190,,,493,1800,591,519,2967,1857,,4783,4052,,432,1148,3275,,4584,,519,,1581,4797,,,4637,1593,1708,4585,,1709,5074,5196,1681,566,528,6067,1058,5974,1690,,456,,,5134,444,1601,,1994,5649
2026-07-30 03:41,,1687,5043,,,379,1680,566,1190,604,,,1800,591,519,3067,1857,,4783,4052,1320,432,1148,3135,,4639,,,,1581,4862,510,,4637,,1673,4655,478,1709,5074,5196,1681,566,528,6067,1018,,1690,,456,,,5134,424,,,1994,5649
2026-07-30 03:51,,1722,5043,,590,359,1680,566,1235,644,,,1760,591,519,3067,1772,694,4783,4052,1320,,1213,3135,584,4639,,,,1581,4862,,,,1623,1708,4585,478,1709,5074,5196,1681,566,528,6067,1058,6094,1690,,441,,,5134,,1641,709,1924,5649
2026-07-30 04:01,,1687,5043,,,,1680,566,1145,644,,478,1760,591,519,2967,,,4783,4052,1320,,1148,,,,,519,,1581,4862,495,,4572,1623,1708,4585,,1664,5074,5196,1681,566,528,6067,1058,6094,1690,,441,,,5134,424,1601,709,1924,
2026-07-30 04:11,,1722,5043,,,359,1680,551,,,,,1760,551,519,3067,1772,694,4783,4052,1320,432,1213,3135,,4639,,519,,1611,4797,,,4637,1623,1708,4655,478,1709,,5271,1681,566,528,6067,1018,6094,1650,,456,,,5134,424,1601,,1924,5649
2026-07-30 04:21,,1722,4968,,,,1680,566,1145,,,478,1760,551,519,2967,1942,,4963,4052,1320,,1213,,,4639,,519,,1611,4862,495,,4572,1623,1708,4655,463,1664,5074,5271,1681,566,528,6067,,6094,1650,,456,,,5199,,1601,,,5649
2026-07-30 04:22,,1722,4968,,,,1680,566,1145,,,478,1760,551,519,2967,1942,,4963,4052,1320,,1148,3275,,4639,,519,,1611,4862,495,,4572,1623,1708,4655,463,1664,5074,5271,1681,566,528,6067,1058,6094,1650,,456,,,5134,,1601,,1994,5649
2026-07-30 04:31,,1687,5043,,,359,1680,581,1190,644,,,1800,551,519,3067,1857,,4783,3997,1320,,1148,3275,,4639,,,,1611,4797,510,,4572,1623,1673,4655,478,1709,5074,5271,1681,551,528,6067,1058,5974,1650,,441,,,5134,424,,709,1994,5649
2026-07-30 04:41,,1722,5043,,,,1680,566,1145,604,,,1720,551,,2967,1857,,4783,4052,1320,432,1213,3135,,4639,,519,,1611,4797,,,4572,1623,1708,4655,478,1709,5074,5271,1646,566,,6067,1058,,1650,,441,,,5134,,1641,709,1994,5649
2026-07-30 04:51,,1687,5043,,,379,1715,581,,,,493,,551,499,3067,1857,,4783,4052,1320,432,1213,,,4584,,519,,1611,4862,495,,4637,1623,1708,4585,478,1709,5074,5271,1646,566,,6067,1058,6094,1650,,441,,,5134,424,1601,709,1994,5504
2026-07-30 05:01,,1687,4968,,,,1610,581,1280,604,,,1800,591,,2967,1857,,4783,4052,1320,,1213,3135,,4584,,519,,1611,4862,510,,4572,1623,1708,4585,463,1709,5074,5271,1646,566,,6067,1058,6094,1690,,441,,,5134,424,1601,709,1994,5504
