timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-12 00:01,617,1862,4743,283,,,,,1190,664,448,1880,511,519,,2452,,4783,3942,1445,447,1278,3695,,4474,1866,549,541,1851,4732,495,4442,1773,1778,4865,478,,,4746,1716,551,,5967,1138,5734,1770,,411,1636,768,,,,739,,
2026-08-12 00:11,602,1862,4668,,,419,,,1190,664,448,,,519,,,,4783,,,447,,3695,,4419,,549,541,,,495,4442,,,4795,478,1799,4979,4671,1716,551,,5867,1138,,,542,411,,,4549,484,,709,,6229
2026-08-12 00:21,,,4743,,545,,,566,1190,,463,,551,519,3267,2452,729,4783,3942,,447,1278,3695,644,4474,,,,,,495,4442,,1778,,478,1799,5074,4746,1716,,548,5967,,,1770,542,411,,,4614,484,1681,709,,6229
2026-08-12 00:31,,,4743,,545,,1855,566,1190,,,,551,519,3267,2537,729,4963,3942,,,1278,3835,614,4474,,,,,4732,495,4507,,1813,4865,478,1844,5169,4746,,551,548,5967,1178,,1770,562,411,,,4614,484,1681,709,1994,6229
2026-08-12 00:41,,,4818,,500,,,566,,,478,,551,519,3267,2537,729,4783,3942,,447,1278,3835,,4474,,,,,4732,495,,,1813,4935,478,1844,5169,4746,,551,548,5967,1178,5734,1770,562,,,,4679,484,1681,,1994,6229
2026-08-12 00:51,,,4818,,,,,551,1235,684,463,,551,519,3267,2452,729,4963,3942,,447,1278,3835,644,4474,,,,,4732,495,,,1813,4935,478,1844,5169,4821,,551,548,5967,1178,5854,1810,542,426,,,4679,484,1721,709,1994,6229
2026-08-12 00:52,,,4818,,545,,,551,1235,684,463,,551,519,3267,2452,764,4963,3942,,447,1278,3835,644,4474,,,,,4732,495,4637,,1813,4935,478,1844,5169,4821,,551,548,5967,1178,5854,1810,542,426,,,4679,484,1721,709,1994,6229
2026-08-12 01:01,,,4818,,545,,,551,1190,704,463,,551,519,3267,2452,729,4783,3942,,447,1278,3835,644,4474,,,,,4732,495,4702,,1813,4935,478,1844,5169,4821,1716,551,548,5967,1178,5854,1810,,426,,,4679,484,1721,709,1924,6229
2026-08-12 01:11,,,4818,,545,,,566,,704,463,,551,519,3267,2452,729,4963,3942,,447,1278,3835,614,4474,,,,,4797,495,4702,,1813,4935,478,1844,5169,4821,,551,548,6067,1178,5854,1810,542,426,,,4744,484,1721,709,,6229
2026-08-12 01:21,,,4818,,545,,,551,1325,704,478,,551,519,3267,2537,764,4963,3942,,447,1213,3835,614,4474,,,,,4797,495,4702,,1813,4935,478,1844,5169,4821,1716,551,548,6067,1178,5854,1810,542,426,,,4744,484,1721,,1994,6229
2026-08-12 01:31,,,4818,,545,,,566,1325,704,448,,551,519,3267,2537,764,4963,3942,,447,1278,3835,644,4474,,,,,4797,495,,,1813,4935,478,1844,5169,4821,1716,566,548,6067,,5854,1770,542,426,,,4744,484,1721,709,1994,6229
2026-08-12 01:41,,,4818,,545,,,566,1235,704,448,,551,519,3267,2537,764,4783,3942,,447,1278,3835,584,4474,,,,,4797,,4702,,1813,4935,478,1844,5169,4821,1716,566,548,6067,1218,5854,1810,542,426,,,4744,484,1721,709,1994,6374
2026-08-12 01:51,,,4818,,545,,,566,1235,704,463,,551,519,3267,2452,764,4783,3942,,447,1278,3835,584,4529,,,,,4797,,4702,,1813,4935,478,1844,5169,4821,,551,548,6067,1218,5854,1770,542,426,,,4744,484,1721,,1994,6374
2026-08-12 02:01,,,4818,,545,,,566,1235,704,463,,551,519,3267,2452,764,4783,3942,,447,1278,3695,614,4529,,,,,4797,,4702,,1813,4935,478,1844,5169,4821,,551,548,6067,1218,5854,1770,542,426,,,4744,484,1721,739,1994,6374
2026-08-12 02:11,,,4818,,545,,,566,1685,,463,,551,519,3267,2452,764,4783,3942,,462,1278,3695,704,4529,,,,,4797,495,4637,,1813,4865,478,1844,5264,4821,1716,551,548,6067,1218,5854,1810,542,426,,,4744,504,1721,709,1994,6519
2026-08-12 02:21,,,4818,,545,,,566,1685,684,,,551,519,3267,2537,729,4963,3942,,462,1278,3835,704,4529,,,,,4797,,,,1813,4935,478,1844,5264,4821,1716,566,548,6067,1218,5854,1810,562,426,,,4809,504,1721,709,1994,6374
