timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-31 00:01,482,,5343,,545,479,1925,446,785,1280,,,,,,,3567,,554,5143,4382,1395,,1473,4115,404,4969,,,,1941,5252,,647,5027,1833,,5635,373,,5739,5646,1681,,448,6367,,,,442,351,1696,758,4614,344,1761,,1994,7099
2026-08-31 00:11,482,,5418,,545,499,,,,1280,624,,,,,,3567,2622,554,5143,4382,,387,1473,4115,404,4969,,,421,,5252,330,,5027,,,5635,373,,5739,5646,1681,446,448,6367,1538,6574,1770,,336,,,4614,344,1721,439,1994,7389
2026-08-31 00:21,482,,5418,243,,,,446,,1325,684,,418,,591,379,3567,2622,,,4382,,387,1473,4255,404,4969,,444,421,,5252,330,,5027,,1883,5635,373,,5739,5646,,446,468,6367,1538,6574,1770,442,351,,,4614,364,,,,7389
2026-08-31 00:31,482,,5418,,545,,1960,446,,1280,644,,403,,591,379,3567,2622,554,5143,4437,,387,1473,4255,,5024,,444,421,,5317,330,,,,1883,5635,373,1889,5739,5646,,446,468,6367,1538,6574,1770,442,351,,,4614,344,,,1994,
2026-08-31 00:41,497,,5418,248,,,1960,446,,1325,624,,403,,591,519,3567,2622,554,5143,4437,,387,1473,4255,,5024,,444,,,5317,330,,5027,,,5705,373,1889,5739,5646,1681,446,468,6467,1538,6574,1770,442,351,,,4614,,,,1994,7389
2026-08-31 00:51,482,,5418,,,,1960,446,,,624,,,,591,519,3567,2537,554,5143,4437,,387,1473,4115,,5024,,444,421,,5317,330,,5092,,1883,5705,373,1889,5739,5646,1681,,468,6467,1538,6574,1770,442,351,,,4614,364,,439,1994,7389
2026-08-31 01:01,,,5418,243,545,,1960,446,,,624,,,,551,519,3567,2537,,5143,4437,1320,387,,,,5024,,444,,,5317,330,,5092,,1883,5635,373,1889,5739,5646,,461,468,6467,1538,6574,,,351,,,,364,1721,,1994,7389
2026-08-31 01:11,,,5493,243,545,,1960,446,,,644,,433,,551,519,3567,2537,,5143,4492,1320,387,,4255,,5024,,444,436,,5317,330,,5092,,1883,5635,373,1889,5739,5646,,461,468,6467,1538,6694,1810,,351,,,4679,364,1721,,1994,7389
2026-08-31 01:21,497,,5493,243,,,1925,446,,,624,,433,,591,519,3567,2537,,5323,4492,,387,1473,4255,404,5079,,444,436,,5317,,,5092,,,5705,373,1889,5739,5646,,461,468,6467,1538,6694,1810,442,351,,,4679,344,1721,439,1994,7534
2026-08-31 01:31,497,,5568,,,,1925,446,,1280,604,,418,,591,519,3567,2622,,5143,4547,,387,1473,4255,404,5134,,444,436,,5317,345,,5092,,,5705,373,,5739,5646,1681,461,468,6467,1538,6694,1810,442,351,,,4744,,1721,439,1994,7534
2026-08-31 01:41,497,,5568,,590,,1925,446,,1280,604,,418,,591,519,3567,2622,,5143,4547,,387,1473,4255,404,5134,,444,436,,5317,345,,5092,,,5705,373,,5739,5646,1681,461,468,6467,1538,6694,1810,442,351,,,4744,364,1721,439,1994,7534
2026-08-31 01:51,497,,5568,,,,,446,,1325,684,,433,,551,519,3567,2622,554,5143,4547,,387,1473,4255,404,5189,,444,421,,5317,345,,5157,,1883,5705,373,1889,5834,5646,1681,461,468,6467,1538,6694,1770,442,351,,,,364,,,1994,7389
2026-08-31 02:01,497,,5568,,,,,446,,1280,604,,433,,551,519,3567,2622,,5323,4547,,387,1473,4115,404,5189,,444,421,,5317,345,,5222,,1883,5705,373,1889,5834,5646,1681,461,468,6467,1538,6694,1810,442,351,,,,364,1721,439,1994,7534
2026-08-31 02:11,497,,5568,,590,,1925,446,,1235,604,,433,,591,519,3567,2622,554,5323,4547,,,,,404,5189,,444,421,,5317,330,,5157,,1883,5705,373,1889,5834,5646,1681,461,488,6467,1538,6694,1770,,351,,,4744,364,1681,439,1994,7534
2026-08-31 02:21,497,,5568,238,,,,446,,1325,644,,433,,551,519,3567,2622,,,4547,,387,1473,4255,,5244,,444,436,,5317,330,,5092,,1883,5705,373,1889,5834,5646,1681,461,448,6467,1538,6694,1770,442,351,,,4744,344,1681,439,1994,7389
2026-08-31 02:31,482,,5568,,,,,446,,1325,624,,403,,,519,3567,2622,,5143,4547,,387,1473,4255,,5244,,444,436,,5317,330,,5157,,1883,5705,373,1889,5929,5721,1681,461,,6467,1538,6694,1770,,351,,,4744,344,1681,439,1994,7244
2026-08-31 02:41,497,,5568,,545,,1925,446,,1325,,,403,,591,519,3567,2537,,5143,4547,,387,1473,4255,794,5244,,444,421,,5382,330,,,,,5705,373,1889,5929,5721,1681,461,468,6467,1538,6694,1770,442,351,,,4744,,,439,1994,7534
2026-08-31 02:51,482,,5568,,545,,1890,446,,1325,644,,403,,591,519,3567,2622,,5143,4547,,387,,4115,794,5244,,444,421,,5382,330,,4962,,1848,5705,373,1844,5929,5721,1681,461,468,6467,1538,6694,1770,,351,,,4744,364,1681,,1924,7534
2026-08-31 03:01,497,,5568,,545,,1890,446,,,664,,,,591,519,3567,2537,554,5323,4547,,387,,,734,5244,,429,421,,5317,330,,4962,,1848,5705,373,1844,5929,5721,1681,461,,6467,1538,6694,1770,442,351,,,4744,344,1681,,1924,7389
2026-08-31 03:11,497,,5568,,,,1890,,,1370,664,,,,,519,3567,2537,554,5143,4547,1320,387,,4395,734,5244,,429,421,,5382,330,,5157,,,5705,373,1889,5929,5721,1681,461,488,6467,1538,6694,1770,442,351,,,4744,,,439,1994,7389
2026-08-31 03:21,497,,,238,,,1890,461,,1325,644,,433,1880,551,519,3567,2622,,5143,,1320,387,,4395,734,,,444,421,,5382,,,5027,,1883,5705,373,1889,5929,5796,1646,461,,6467,1538,6694,1810,,351,,,4744,364,1681,439,1994,7389
2026-08-31 03:31,482,,5568,238,545,,,461,,,664,,403,1880,551,519,3467,2622,554,5323,4602,1320,387,,4255,704,5299,,444,,,5382,330,,5027,,1848,5705,373,1844,5929,5796,1646,446,488,6467,1538,6694,1730,,,,,4744,,1681,,1994,7389
2026-08-31 03:41,482,,5568,,,,1890,446,,1280,704,,418,1880,591,499,3567,2622,554,5143,4602,1320,387,,4255,734,5299,,429,421,,5382,345,,5222,,1883,5705,373,1844,5929,5796,1681,461,448,6467,1538,6694,1770,,351,,,4744,344,,,1994,7534
2026-08-31 03:51,482,,,,,,1890,446,,1280,704,,418,1880,,519,3567,2622,554,5143,,1320,387,,4115,704,5299,,429,421,,5382,345,,5222,,1883,5705,373,1844,5929,5796,1681,461,448,6467,1538,6694,1770,,351,,,4744,344,,,1994,7534
2026-08-31 04:01,497,,,238,545,,1890,,,1325,704,,403,,551,519,3567,2537,,5143,4547,1320,387,,4255,704,5299,,444,421,,5382,330,,5027,,1883,5705,,1889,5929,5796,1681,446,488,6467,1538,6694,1770,442,351,,,4744,344,,,1994,7389
2026-08-31 04:11,497,,5568,243,,,,446,,,704,,,1880,,519,3567,2537,554,5143,,1320,387,1538,4255,494,5299,,429,421,,5382,,,5222,,1883,5705,373,1844,5929,5796,1681,461,468,6467,1498,,,442,351,,,4744,344,1681,,1994,
2026-08-31 04:21,482,,5643,243,590,,,446,,,724,,433,,551,519,3567,2537,,5143,4547,1320,387,,4115,704,5299,,429,421,,5382,345,,5027,,1848,5705,373,1844,5929,5871,1646,461,468,6467,1538,6694,1770,442,351,,,4744,344,,,1994,7534
2026-08-31 04:31,467,,5643,243,545,,1855,446,,1235,684,,418,,551,519,3567,2622,554,5143,4547,1320,387,,4115,734,5189,,429,436,,5382,345,,5027,,1883,5705,373,1889,5929,5871,1646,476,468,6467,1498,6694,1810,,351,,,4744,,,,1994,7534
2026-08-31 04:44,467,,5643,243,590,,1890,446,,,684,,418,,591,519,3667,2707,554,5143,4547,,387,,4255,584,5299,,444,421,,5382,330,,5027,,1883,5705,373,1844,5929,5871,1646,461,468,6467,1538,6694,1770,,351,,,4744,364,1681,,1994,7534
2026-08-31 04:51,497,,5643,243,590,,1890,461,,1280,724,,448,1880,591,519,3567,2707,,5323,4547,1320,387,,4255,584,5299,,444,436,,5382,,,5157,,1883,5705,373,1889,5929,5871,1646,461,468,6467,,6694,1810,442,351,,,4744,344,,439,1994,7534
2026-08-31 05:01,482,,5643,243,590,,1890,461,,1235,724,,403,,591,519,3567,2707,554,,4547,1320,387,,4395,644,5189,,444,436,,5382,,,5092,,1848,5705,373,,5929,5871,1681,,448,6567,1538,6574,1810,442,351,,,4809,364,1681,,1994,7534
2026-08-31 05:11,467,,5643,243,545,,1890,,,,684,,403,1880,551,519,3567,2707,,5143,4602,1320,387,,4395,524,5244,,444,421,,5382,330,,5092,,1848,5705,,1889,5929,5871,1681,461,468,6567,1498,6694,1810,,351,,,4809,364,,439,1994,7534
2026-08-31 05:21,497,,5343,243,545,,,446,,,744,,403,,551,519,3467,2792,554,5143,4547,,387,,4255,434,5299,,444,436,,5317,,,5092,,1883,5635,373,1844,5929,5871,1681,476,488,6567,1538,6454,1810,442,351,,,4744,344,,,1994,7534
2026-08-31 05:31,497,,5343,243,545,,,446,,,724,,403,,551,519,3467,2792,554,5143,4547,,387,,4255,464,5244,,444,436,,5317,,,5092,,1883,5635,373,1844,5929,5871,1681,,,6567,1538,6454,1810,442,351,,,4744,344,,,1994,7534
