timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-17 00:01,617,1932,,,590,,1960,566,785,1100,664,,478,1960,591,519,3567,2622,,,3832,1320,,,,644,,564,556,4797,495,,,1893,,,508,1889,5264,4746,,551,,5967,,5734,1850,,396,1726,758,,,1841,769,,5794
2026-08-17 00:11,,,,,545,,1960,,,,684,,478,,591,519,3567,2622,764,4783,3832,,,,,644,4364,,,,,,4442,,1953,4935,508,1934,,4746,1646,551,,5967,1178,5734,1850,562,,1726,,4484,524,,769,,
2026-08-17 00:21,,,4818,,545,419,,,,1100,684,,,,591,519,3567,2622,,4783,3832,,432,1278,3835,674,,,,4797,510,,,,1918,4935,,1934,5264,4746,,551,588,5967,1178,5734,1850,582,411,,,4484,524,,,1994,
2026-08-17 00:31,,,4818,,545,419,,,,1100,704,,,,591,519,3567,2622,799,4783,3832,,,1278,3695,,4419,,,4797,510,,4507,,1918,4935,,1934,5264,4746,1716,551,588,5967,1178,5734,1850,582,411,,,4549,524,,,,
2026-08-17 00:41,,,4818,,590,419,,,,1145,704,,,,591,519,3667,2622,799,4783,3832,,432,1343,3835,644,4419,,,4797,495,,4637,,1918,5005,,1934,5264,4821,1681,551,568,6067,1178,5734,,582,411,,,4549,524,,769,1994,5794
2026-08-17 00:51,,,4818,,590,419,,,,1100,704,,478,,591,519,3667,2622,799,4783,3832,,432,1343,3835,644,4419,,,4797,510,,4637,,1918,5005,,1934,5264,4821,1681,551,568,6067,1178,5854,1850,562,411,,,4549,524,,,1994,5794
2026-08-17 01:01,,,4818,,635,419,,,,1145,704,,,,591,519,3667,2622,764,4963,3832,,432,1278,3835,,4419,,,4797,510,,4702,,1918,5005,,1934,5264,4821,1681,551,568,6067,1218,5854,1850,562,411,,,4549,524,,799,1994,5939
2026-08-17 01:11,,,,,635,399,1925,,,1100,664,,,,591,519,,,,4783,3832,,432,1278,3695,644,4419,,,4797,510,,4702,,1918,5005,508,1934,5264,4821,1681,551,568,6067,1218,5854,1850,582,,,,4549,,,799,1994,5939
2026-08-17 01:21,,,4893,,680,419,1925,,,1100,,,,,591,519,3767,,799,4783,3832,,432,1343,3835,644,4419,,,4797,510,,4702,,1918,5005,508,1934,5264,4821,1646,551,568,6067,1218,5854,1850,582,,,,4549,524,,799,1994,5939
2026-08-17 01:31,,,4893,,680,419,1960,,,,,,478,,591,519,3767,2622,764,4963,3832,,432,1343,3695,,4419,,,4797,510,,4702,,1918,5005,508,1934,5264,4821,1681,551,568,6067,1218,5854,1850,582,411,,,4549,524,,769,1994,5939
2026-08-17 01:41,,,4893,,680,399,1960,,,1100,664,,478,,591,519,3767,2622,799,4783,3832,,432,1343,3835,734,4419,,,4797,510,,4637,,1918,5005,508,1934,5264,4821,1681,551,588,6067,1218,5854,1890,582,411,,,4614,,,799,1994,5939
2026-08-17 01:51,,,4893,,680,399,,566,,1100,704,,493,,591,519,3767,2622,764,4783,3832,,417,1278,3695,734,4419,,,4862,510,,4702,,1918,5005,508,1934,5264,4821,1681,551,588,6067,1218,5854,1890,562,411,,,4614,524,,,1994,5794
