timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-07-28 00:01,572,,,,,,1750,551,740,,,383,,1600,551,519,,1942,,,3942,1270,,1148,3135,,4474,1766,,526,4732,495,677,4377,,,4515,463,,4884,5046,1646,,,5767,1018,5974,,462,,1696,778,4744,,,,1994,6229
2026-07-28 00:11,,1722,4968,,,519,1785,566,,,,,463,1640,591,519,3067,1942,659,4963,3997,,417,1148,3135,524,4474,,,,4797,495,,4442,,,4515,463,1664,4884,5046,1611,521,528,5767,1018,6094,1690,462,,,,4744,424,1601,679,,6229
2026-07-28 00:21,,1722,4968,,,519,1785,566,,,,,463,1640,591,519,3067,1942,659,4963,3997,,417,1148,3135,524,4474,,,,4797,495,,4442,,,4515,463,1664,4884,5046,1611,521,528,5767,1018,6094,1690,462,441,,,4744,424,1601,679,,6229
2026-07-28 00:31,,,4968,,545,499,,551,,1190,,,,1640,591,519,3067,,694,4963,3997,,432,,,614,4529,,,,4797,495,,4442,,,4585,478,1664,4884,5046,,551,528,5767,1018,6094,1690,462,441,,,4809,424,1601,679,1994,
2026-07-28 00:41,,,4968,,,,,551,,1145,,,478,1640,551,519,3167,1942,694,4963,3997,,432,1148,3135,614,4529,,504,,4797,495,,4377,,1638,4585,463,1664,4884,5046,,551,528,5767,1018,6094,1690,462,441,,,4809,424,1601,,1994,6229
2026-07-28 00:51,,1687,4968,,,,,,,,464,,478,1640,551,519,3167,1942,694,4963,3997,,432,1148,3135,584,4529,,504,,4797,495,,4442,,1638,4585,463,1664,4884,5046,,551,528,5767,1018,6094,1690,462,441,,,4809,,1641,,1994,
2026-07-28 00:52,,1687,4968,,,,,,,1190,464,,478,1640,551,519,3167,1942,694,4963,3997,,432,1148,3135,584,4529,,504,,4797,495,,4442,,1638,4585,463,1709,4884,5046,,551,528,5767,1018,6094,1690,462,456,,,4809,424,1641,709,1994,6374
2026-07-28 01:01,,1687,4968,,,519,,,,1190,,,478,1640,551,519,3167,1942,694,4963,3997,,432,1148,3135,584,4584,,504,,4797,495,,4507,,1638,4585,463,1709,4979,5046,,551,528,5767,1018,6094,1690,462,456,,,4809,424,1641,,1994,6374
2026-07-28 01:11,,,4968,,,519,,,,1190,,,478,1640,551,519,3167,1942,659,4963,3997,,432,1148,3135,584,4584,,504,,4797,495,,4507,,1638,4585,463,1664,4979,5046,,551,528,5867,1018,6094,1690,462,456,,,4809,,1641,739,1994,6374
2026-07-28 01:21,,1687,5043,,,519,,,,,,,463,1640,551,519,3167,1942,694,4963,3997,,432,1148,3135,584,4584,,504,,4797,495,,4507,,1638,4585,463,1664,4979,5046,1611,536,528,5867,,6094,1690,462,456,,,4809,424,1641,739,1994,6374
2026-07-28 01:31,,,5043,,,,,,,1190,,,478,1640,,519,3167,1942,659,4963,3997,,432,1148,3135,584,4584,,504,,4797,495,,4507,,1638,4585,463,,4979,5046,1611,536,528,5867,1018,6094,1690,462,456,,,4809,424,1601,709,1924,6374
2026-07-28 01:41,,,5043,,,519,,,,1190,,,463,1680,551,519,3167,1942,694,4963,3997,,417,1148,3135,584,4584,,504,,4797,495,,4442,,1638,4585,463,1709,4979,5046,1611,536,528,5867,1018,6094,1690,462,456,,,4939,424,1601,709,1994,
