timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-19 00:01,527,2177,,243,,379,2380,,875,5457,,564,378,440,,1760,,519,2767,,,5143,4151,4162,2333,747,995,,1018,3135,644,4914,1841,,496,1941,5057,480,,5027,2223,2338,5705,508,2294,5074,,1891,401,528,5967,1458,5734,2370,522,396,1786,,4614,,2041,679,,7534
2026-09-19 00:11,,,5343,243,545,379,,,,,830,,,,388,,471,519,2767,2197,484,5143,4151,,,,,162,1018,3135,644,4914,1841,294,,,,,,4897,,,,,,5074,,,401,508,5967,,5734,,502,381,,,4614,244,,649,1994,
2026-09-19 00:12,,,5343,,545,379,,,,5457,830,,,440,388,,471,519,2767,2197,484,5143,4206,4217,,747,1020,162,,3135,644,4914,,294,,,5057,,,5027,,,5705,,,5074,5421,,401,508,5967,,5734,,502,381,,,4614,244,,649,1994,7679
2026-09-19 00:21,,,,,545,379,,,,5457,785,,,,388,,471,,2767,2112,484,5143,4206,4217,,747,995,162,,3135,644,4914,,294,,,5057,,,5027,,,5705,,,5074,5421,,401,508,5967,,,,502,381,,,4614,244,,649,1994,7679
2026-09-19 00:32,,,5493,,500,,,,,5457,740,524,,,388,,471,519,2767,2197,484,5323,4206,4217,,747,995,,1018,3135,644,4914,,294,,,5057,,,5092,,,5705,,,5074,5421,,401,508,5967,,5854,,502,381,,,4614,244,,679,1994,7679
2026-09-19 00:41,,,5493,,545,,,431,,5457,875,544,,440,388,,471,519,2767,2197,519,5143,4261,4217,,747,995,,,3135,,4914,,294,,,5057,,,5092,,,5705,,,5074,5496,,401,508,5967,,5854,,502,381,,,4614,244,,,1994,7534
2026-09-19 00:51,,,5493,,,,,,,5457,830,524,,440,388,,471,519,2767,2197,589,,4261,4217,,747,995,,1018,3135,644,4914,,294,,,5057,,,5092,,,5705,,,5074,5496,,401,508,5967,,5854,,502,381,,,4614,244,,,1994,7679
2026-09-19 01:01,,,5493,,,,,431,,5457,785,,,440,388,,471,519,2767,,589,5143,4536,4217,,747,995,,1018,3135,644,4914,,294,,,5057,,,5092,,,5705,,,5074,5571,,401,508,5967,,5854,,502,381,,,4679,244,,649,1994,7679
2026-09-19 01:11,,,5493,,545,,,446,,5457,785,524,,440,388,,471,519,2767,2112,589,,4536,4382,,747,1020,162,,3135,,4914,,294,,,5057,,,5157,,,5705,,,5074,5571,,401,508,5967,,5854,,502,381,,,4744,244,,649,1994,7679
2026-09-19 01:21,,,5493,,,,,446,,5457,830,584,,440,388,1720,471,519,2767,,589,5143,4481,4382,,747,995,162,1018,3135,,4914,,294,,,5057,,,5157,,,5775,,,5074,5571,,401,508,5967,,5854,,502,381,,,4744,244,,649,1994,7679
