timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-06 00:01,617,1827,4893,288,,459,1820,596,785,1145,,383,508,1840,511,,,,,,4052,1470,432,1148,3275,614,,1841,549,556,1821,,555,,4572,1803,1743,4725,523,1754,,4971,1786,596,548,6067,1178,5854,1810,542,426,1516,768,4809,484,1801,709,1994,6519
2026-08-06 00:11,602,1792,4893,,,439,1750,581,,1190,,,493,1840,,519,3167,2197,729,4963,4052,1445,,,3275,614,4529,,,,,4797,525,,4572,,1743,4725,508,1754,5074,4971,1716,,548,6067,1178,5854,1810,,426,1456,,4809,484,1761,709,1994,6519
2026-08-06 00:21,,,4893,,,,1785,,,1190,584,,493,1840,511,519,3167,2197,729,4963,4052,,447,1213,3275,614,4529,,,,,4797,,,4637,,,4795,508,,5074,4971,,551,548,6067,1178,5854,1810,562,,1456,,4809,484,1761,709,1994,6519
2026-08-06 00:23,,,4893,,545,,1785,,,1235,,,493,1840,511,519,3167,2197,729,4963,4052,,447,1213,3275,644,4529,,,,,4797,,,4637,,,4795,508,1799,5074,4971,,551,548,6067,1178,5854,1810,562,441,1456,,4809,484,1761,709,1994,6519
2026-08-06 00:31,,,4893,,545,,1785,581,,1190,,,493,,511,519,3167,2197,729,4963,4052,,417,1213,3275,,4584,,,,,4862,,,,,1743,4865,508,1799,5074,4971,1751,551,548,6067,1178,5854,1810,562,441,1456,,4809,484,,709,1994,6519
2026-08-06 00:41,,,4893,,545,439,1785,566,,1190,584,,,1840,511,519,3267,2197,729,4963,4052,,432,1213,3275,644,4639,,,,,,,,4702,,,4865,,1799,5074,4971,,551,548,6067,1218,5854,1770,542,441,,,4809,484,,,1994,6519
2026-08-06 00:51,,1757,4893,,500,439,,566,,1190,584,,,,511,519,3267,2197,729,4963,4052,,432,1213,3275,,4639,,,,,,,,4702,,1743,4865,508,1799,5074,4971,1716,551,548,6067,1218,5854,1770,542,441,,,4809,,1721,,1994,6519
2026-08-06 01:01,,1757,4893,,500,439,1785,566,,1235,584,,,1800,511,519,3267,,,4963,4052,,432,1213,3275,,4639,,,,,4862,,,4702,,1743,4865,,1799,5074,4971,1716,551,548,6067,1218,5854,,542,441,1456,,4809,,,,1994,6664
2026-08-06 01:11,,1757,4893,,500,439,1785,566,,1235,584,,,,511,519,3267,,,4963,4052,,,1213,3275,614,4639,,,,,4862,,,4702,,1743,4865,,1799,5074,4971,1716,551,548,6067,1218,5854,1810,542,441,1456,,4809,,,709,1994,6664
2026-08-06 01:21,,,4893,,545,,1785,581,,1190,564,,493,1840,511,519,3267,2197,729,4963,4052,,,1213,3275,,4639,,,,,4862,,,4702,,1743,4865,508,1799,5074,4971,,551,548,6067,1218,5854,1810,562,441,1426,,4874,484,,709,1994,6664
2026-08-06 01:31,,,4893,,500,,1785,581,,1145,564,,493,1840,471,519,3267,2197,729,4783,4052,,447,1213,3275,614,4694,,,,,4862,,,4702,,1743,4865,508,1799,5074,4971,1716,551,,6067,1218,5854,1810,542,441,1486,,4874,,,739,1994,6519
2026-08-06 01:41,,,4893,,500,,1785,581,,1145,564,,493,1840,471,519,3267,2197,729,4783,4052,,447,1213,3275,644,4694,,,,,4862,,,4702,,1743,4865,508,1799,5074,4971,1716,551,,6067,1218,5854,1810,542,441,1486,,4874,,,739,1994,6809
2026-08-06 01:51,,,4893,,545,439,1785,566,,1235,604,,,1840,511,519,3267,2197,729,4783,4052,,432,1213,3275,,4694,,,,,4862,,,4702,,,4865,508,,5169,5046,,551,548,6067,1218,5854,1810,542,441,1486,,4874,,,,1994,6809
2026-08-06 02:01,,,4893,,545,,1785,581,,1145,604,,,1800,511,519,3267,2197,729,4783,4052,,432,1148,,644,4694,,,,,4862,,,4702,,1743,4865,508,1799,5169,5046,1681,,548,6067,,5854,1770,542,441,1486,,4874,,,,1994,6809
2026-08-06 02:11,,,4893,,545,,1785,581,,1145,564,,,,511,519,3267,2197,729,4783,4052,,432,1148,3275,614,4694,,,,,4862,,,4702,,1743,4865,508,1799,5169,5046,,566,548,6067,1218,5854,1770,542,441,1486,,4874,,,709,1994,6664
2026-08-06 02:21,,,4893,,545,,1750,581,,1235,584,,,1840,471,519,3267,,729,4963,4107,,432,1148,3275,644,4694,,,,,4862,,,4767,,1743,4865,508,1799,5264,5046,,566,548,6067,1218,5854,1810,542,441,1486,,4939,,,709,1994,6809
2026-08-06 02:31,,,4893,,500,,1785,581,,1190,564,,,1840,471,519,3267,2197,729,4783,4107,,,1148,,614,4694,,,,,4862,,,4767,,1743,4865,,1799,5264,5046,1716,566,548,6067,1218,5854,1810,542,441,1456,,5004,484,,739,1994,6809
2026-08-06 02:41,,,4893,,,,1785,581,,1145,604,,493,1840,471,519,3267,2197,764,4783,4107,,447,1148,3275,614,4749,,,,,4862,,,4702,,1743,4865,508,1799,5264,5046,1716,566,,6067,1218,5854,1770,562,441,1426,,5004,,,709,1994,6809
2026-08-06 02:51,,,4968,,500,,1785,581,,1145,564,,,1840,471,519,3267,2197,729,4963,4107,,432,1148,3275,614,4749,,,,,,,,4702,,1743,4865,,1799,5264,5046,1716,566,548,6067,1218,5854,1770,542,426,,,,,,,1994,
2026-08-06 03:01,,,4968,,500,,1750,581,,1145,584,,,1840,471,519,3267,2197,729,,4107,,432,1213,3275,,4749,,,,,4862,,,4767,,1743,4865,,1799,5264,5046,,566,548,6067,1218,5854,1810,542,441,1456,,5069,,,709,1994,7099
2026-08-06 03:11,,,4968,,500,,1750,581,,1190,584,,493,,471,519,3267,2197,764,4783,4107,,432,1213,3275,,4749,,,,,4862,,,4767,,,4865,,1799,5264,5046,1716,566,548,6067,1218,5854,1810,542,441,1456,,5069,,,739,1994,6954
2026-08-06 03:21,,,4968,,500,,1750,581,,,564,,493,,511,519,3267,2197,764,4963,4107,,432,1213,3275,644,4749,,,,,4862,,,4767,,1743,4865,508,1799,5264,5046,1716,566,,6067,1178,5854,1770,542,,1456,,5134,,,709,1994,7099
2026-08-06 03:31,,,4968,,500,439,1785,581,,,604,,,1840,511,519,3267,2197,,4963,4107,,447,1148,,674,4749,,,,,4862,,,4767,,1743,4935,,1799,5264,5046,1716,566,548,6067,1178,5854,1770,562,426,1456,,5134,,,709,1994,6954
2026-08-06 03:41,,,4893,,590,,1750,581,,1145,564,,,,471,519,3267,2197,729,4963,4107,,432,1213,,674,4694,,,,,4797,,,4702,,1743,4865,,1799,5264,5046,1716,566,548,6067,1178,5854,1770,562,426,1456,,5134,,,709,1994,6954
2026-08-06 03:51,,,,,,,1785,581,,1190,,,,1840,,519,3267,2197,729,4963,4107,,432,1148,3275,674,4749,,,,,4862,,,4767,,1743,4935,,1799,,5046,1716,566,548,6067,1178,5854,1810,542,426,1486,,5134,,,709,1994,6954
2026-08-06 04:01,,,4968,,500,439,1785,581,,1145,584,,,1840,471,519,3267,,729,,4107,,432,1148,3275,674,4749,,,,,4862,,,4767,,1743,4935,,1799,5454,5046,1716,566,548,6067,1178,5854,1770,,426,1486,,5134,,,739,1994,7389
2026-08-06 04:11,,1757,4968,,,439,1820,581,,1145,584,,,,471,519,3267,2197,764,4963,4107,,432,1148,,614,4694,,,,,4862,,,4637,,1743,4865,,1799,5454,5046,1716,566,548,6067,1178,5854,1810,562,441,1486,,5134,,,709,1994,7244
2026-08-06 04:21,,1757,4968,,590,,1785,581,,1145,604,,493,,471,519,3267,2197,764,4963,4107,,417,1148,3275,614,4694,,,,,4862,,,,,1743,4795,,1754,5454,5046,1716,566,,6067,1178,5854,1770,542,,1456,,5134,484,,,1994,7244
2026-08-06 04:31,,1757,4968,,500,459,1820,581,,,604,,,1840,471,,3267,2197,729,4963,4107,,,1213,3275,674,4749,,,,,4862,,,,,1743,4865,508,1754,5454,5046,1716,551,,6067,1178,5854,1770,542,426,1486,,5134,,,,,7244
2026-08-06 04:41,,,4893,,,439,,581,,1145,544,,,1840,471,519,3267,2197,764,4963,4107,,417,1213,3275,674,4694,,,,,4862,,,4767,,1743,4795,,1799,5549,5046,1716,566,548,6067,,5854,1810,542,426,1456,,5134,,,,1994,7099
2026-08-06 04:51,,,4893,,590,459,1820,581,,1145,544,,,1840,471,519,3267,2197,,4963,4107,,417,1148,3275,,4694,,,,,4797,,,4637,,1743,4865,,1799,5549,5046,,566,548,6067,1178,5854,1810,,,,,5134,,,,1994,7099
2026-08-06 05:01,,,4968,,545,439,1820,581,,1145,,,,1840,,519,3167,,729,4783,,,,1213,3275,644,4694,,,,,4797,,,4637,,1743,4865,508,1799,5549,5046,1716,566,548,6067,,5854,1770,562,441,1486,,5134,484,,769,,6954
2026-08-06 05:11,,1757,,,500,,1785,581,,,544,,,1840,471,,3267,2197,729,4783,4107,,432,1213,3275,644,4694,,,,,4862,,,4702,,1743,4795,508,,5454,5046,,566,548,6067,,5854,1770,542,,1426,,5069,484,,,1994,6954
2026-08-06 05:21,,1757,4893,,545,,1820,581,,1100,624,,,1840,,519,3267,2282,729,4783,4107,,417,1148,,,4694,,,,,,,,4637,,1743,4865,508,1754,5454,5046,1716,566,528,6067,1138,5734,1730,542,441,1456,,5069,,,709,1994,6954
2026-08-06 05:31,,,4893,,500,,1820,581,,1280,564,,493,1840,471,519,3167,2282,729,4963,4107,,417,1148,,,4694,,,,,4862,525,,4702,,1743,4865,508,1799,5549,5046,1716,566,548,6067,,5854,1810,542,441,1456,,,,,709,1994,6954
2026-08-06 05:41,,1757,4968,,,,1820,581,,1145,564,,,1840,471,519,3167,2197,729,4963,4107,,447,1213,3275,,4694,,,,,4797,,,4702,,1708,,508,1799,5549,5046,1716,566,548,6067,,5854,1730,542,441,1456,,5134,,,,1994,7099
2026-08-06 05:51,,1757,4968,,500,,1820,581,,1190,544,,,1840,471,519,3267,2197,729,4963,4052,,447,,,,4639,,,,,4797,510,,4637,,,4795,493,1799,5454,5046,1716,566,548,6067,,,,542,441,1486,,5069,,1721,,1994,6954
2026-08-06 06:01,,1757,4818,,500,,1820,581,,1190,,,,1840,471,519,3267,,,4783,4052,,432,1148,,644,4639,,,,,,510,,4637,,1743,4795,493,1799,5454,5046,1716,566,528,6067,1138,5734,1770,542,441,1486,,5069,,1721,709,1994,6954
2026-08-06 06:11,,1757,4893,,545,,1820,581,,1145,,,,,471,519,3267,2197,,4783,4052,,432,1148,,,4639,,,,,4797,525,,4507,,1708,4795,508,1799,5359,4971,1716,566,,6067,,5734,1770,522,441,1456,,5069,484,,769,1994,7099
2026-08-06 06:21,,,,,500,,1785,581,,,564,,,1840,471,519,3267,2197,729,4783,3997,,447,1083,3275,,4529,,,,,4797,525,,4377,,1743,4865,508,1799,5359,4971,1716,566,548,5967,,,1770,,441,1426,,5004,,,709,1994,6954
2026-08-06 06:31,,1757,4893,,500,,1820,581,,,564,,493,,471,519,3267,,764,4783,3997,,447,1213,3275,614,4584,,,,,4667,,,4377,,1743,4725,508,1799,,4971,1716,566,,6067,1178,,,562,441,1426,,5004,,,,1994,6664
