timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-03 00:01,602,1862,4818,283,545,,,566,,,358,,,471,519,,2282,,,,1420,1083,3135,494,4639,1916,534,571,1881,4797,495,,,4585,508,1889,,4971,1681,581,,5967,1098,5854,1850,562,,1516,768,,484,,769,1994,
2026-08-03 00:11,,,4818,283,500,,1645,566,1055,604,,478,,471,519,,2367,834,4963,4107,,1083,3135,494,4639,,,556,,4797,495,,1848,,,1844,,4971,,551,548,5967,1098,5854,,562,,1486,,4809,524,1881,709,1994,
2026-08-03 00:21,,,4818,,545,319,1715,,1100,604,,478,1840,471,519,3467,2367,799,4783,4107,,,3135,,4694,,,,,4797,510,4572,1848,4655,,1844,4979,4971,1576,,548,5967,1098,5854,1810,562,441,,,4809,524,,,1994,5939
2026-08-03 00:31,,,4818,,545,299,,,1100,,,478,,471,519,3467,2367,764,4963,4107,,1148,3135,524,4694,,,,,4797,510,4572,,4655,508,1844,4979,4971,1611,551,548,5967,1098,5854,,562,441,,,4809,524,,709,1994,5939
2026-08-03 00:41,,,4818,,500,,,566,1100,584,,478,,471,519,3467,2367,,4963,4107,,1148,3135,524,4694,,,,,4797,510,4637,,4655,508,1844,4979,4971,1646,551,548,5967,1098,5854,,562,441,,,4809,524,,709,1994,5939
2026-08-03 00:51,,,4818,,500,,1680,,1145,564,,478,1840,471,519,3467,,799,4963,4107,,1083,3135,494,4694,,,,,4797,510,4637,,4655,508,1844,4979,4971,1646,551,548,5967,1098,5854,1810,562,441,,,4809,524,1841,709,1994,5939
2026-08-03 01:01,,,4818,,,299,1645,,1145,,,493,1840,471,519,3467,2367,799,4963,4107,,1083,3135,494,4694,,,,,4797,510,4702,,4655,,1844,4979,4971,1646,551,528,5967,1098,5854,1810,562,441,1486,,4809,504,,,1994,5939
2026-08-03 01:11,,,4818,,545,299,1680,,1100,604,,493,1840,471,519,3467,2367,799,5143,4107,,1083,3135,494,4694,,,,,4797,510,4702,,4655,,1844,5074,4971,1646,551,548,5967,1098,5854,1810,562,441,1486,,4809,504,,709,1994,5939
2026-08-03 01:21,,,4818,,545,,1680,,1100,604,,478,1840,471,519,3467,2282,799,4963,4107,,,3135,494,4694,,,,,4797,510,4702,,4655,508,1844,5074,4971,1646,551,528,5967,1098,5854,1810,562,441,1486,,4874,504,,709,1994,5939
2026-08-03 01:31,,,4818,,545,,1715,566,1055,624,,493,1840,471,519,3467,2367,764,5143,4162,,1148,3135,554,4749,,519,,,4797,510,4702,1848,4655,508,1844,5074,4971,1646,551,548,5967,1098,5854,1810,562,441,,,4874,524,,739,1924,5939
2026-08-03 01:41,,,4818,,500,299,1680,566,1100,644,,478,1840,471,519,3467,2367,799,4963,4162,,1083,3135,494,4749,,519,,,4797,510,4702,1813,4655,508,1844,5074,4971,1611,551,528,5967,1098,5854,1810,542,441,,,4874,504,,709,1994,5939
2026-08-03 01:51,,,4818,,500,299,1680,566,1055,,,478,1840,471,519,3467,2367,799,,4162,,1083,3135,494,4749,,519,,,4797,510,4702,1813,4655,508,1844,,4971,1611,551,528,5967,1098,5854,1810,542,441,,,4874,504,,709,1994,5939
2026-08-03 02:01,,,4818,,545,299,1715,566,1055,584,,478,,471,519,3467,2367,764,4963,4162,,,3135,524,4749,,519,,,4797,510,4702,,4725,508,1844,,4971,1646,551,528,5967,1098,5854,1810,562,441,1486,,4874,484,,709,1924,5939
2026-08-03 02:11,,,4818,,545,299,1680,566,1100,564,,,1840,471,519,3467,2282,834,5143,4162,,1083,3135,494,4804,,519,,,4797,510,4702,,4725,508,1844,5074,4971,1646,551,528,6067,1098,5854,1810,562,441,1486,,4874,504,,709,1994,5939
2026-08-03 02:21,,,4893,,,319,1715,566,1100,584,,478,1840,471,519,3467,2197,799,4963,4162,,1148,3135,524,4804,,519,,,4797,510,4702,,4725,508,1844,5074,4971,1646,551,528,6067,1098,5854,1810,562,441,1486,,4874,524,,709,1994,5939
2026-08-03 02:31,,,4893,,,299,1680,566,1100,,,478,1840,471,519,3467,2282,799,4963,4162,,1148,3135,524,4804,,519,,,4797,510,4702,,4725,508,1844,5074,4971,1646,551,528,6067,1098,5854,1810,562,426,1486,,4874,524,,709,1994,
