timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-13 00:01,557,,,273,545,,2555,551,950,5652,,,363,400,,,,,,2367,,,4041,4217,2533,797,1095,,,,644,,384,481,1971,5642,495,547,,5775,,2519,5454,5721,416,528,6067,,,2530,522,456,1906,688,4874,304,2441,709,1994,6809
2026-09-13 00:11,542,,,278,,,,,950,5652,965,624,,,388,,,519,2967,2367,,5503,4041,,2533,,1045,,,3275,614,5189,,,,5642,,,5092,5775,,,5454,5721,416,528,6067,1418,5854,,,426,,,4874,304,,709,1994,6664
2026-09-13 00:21,,,5793,,545,419,,,,5652,1010,,,400,388,1600,471,519,2967,2367,519,5503,4041,4217,,797,1070,192,1018,,644,5189,,,,5642,,,5157,5775,,,5454,5721,416,528,6067,1418,5854,,,,,,4939,,,,1994,6664
2026-09-13 00:31,,2282,5793,,,419,,,,5652,1010,,,400,388,1600,471,519,2967,2367,519,5503,4041,4217,,797,1070,192,1018,3275,,5189,,,,5642,,,5157,5775,,,5454,5721,,528,6067,1418,5854,,,,,,4939,,,,1994,6664
2026-09-13 00:41,,,5868,,545,399,,,,5652,965,,,440,388,1600,471,,2967,2367,,5503,4041,4217,,797,1070,192,1018,,674,5244,,,,5642,,,,5775,,,5454,5721,416,528,6067,1418,5854,,,,,,4939,,,,1994,6664
2026-09-13 00:51,,,,,545,399,,,,5717,,,,440,388,1600,471,519,2967,2367,519,5503,4041,4217,,797,1070,192,1018,3275,644,5244,,,,5642,,,5222,5775,,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,,1994,6664
2026-09-13 01:01,,,5868,,,399,,,,5717,,,,440,388,1600,471,519,2967,2367,519,5503,4041,4217,,822,1070,192,1018,3275,734,5244,,,,5642,,,5287,5775,,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6664
2026-09-13 01:11,,,5868,,545,399,,,,5717,,,,440,388,1600,,519,2967,2367,519,5503,4041,4217,,797,1095,192,1018,,674,5244,,,,5642,,,5222,5775,,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6809
2026-09-13 01:21,,,5868,,590,419,,,,5717,,704,,400,388,1640,471,519,2967,2367,589,5503,4041,4217,,822,1095,192,1018,3275,674,5299,,,,5642,,,5287,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,,1994,6809
2026-09-13 01:31,,,5868,,,399,,,,5717,,,,400,388,1640,471,519,2967,2367,589,5503,4041,4217,,822,1095,192,1018,3275,644,5299,,,,5642,,,5287,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,739,1994,
2026-09-13 01:41,,,5943,,590,419,,,,5717,965,,,440,,,471,,2967,2367,589,5503,4041,4217,,797,1095,192,1018,3275,764,5299,,,,5642,,,5287,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,,1994,6809
2026-09-13 01:51,,,5943,,,519,,,,,965,,,440,388,1640,471,519,2967,2367,554,5503,4041,4217,,822,1095,192,1018,3275,764,5299,,,,5642,,,5222,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6809
2026-09-13 02:01,,,5943,,545,499,,,,5782,,,,400,388,1640,471,519,2967,2367,589,5503,4041,4162,,797,1070,192,1018,3275,734,5299,,,,5642,,,5287,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,739,,6809
2026-09-13 02:11,,,5943,,590,439,,,,5782,,,,400,388,1640,471,519,2967,,589,,4041,4217,,822,1045,192,1018,3275,734,5299,,,,5642,,,5222,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,739,1994,6809
2026-09-13 02:21,,,5943,,,439,,,,5782,,,,400,388,1640,471,519,2967,2282,624,5503,4041,4217,,797,1045,192,1018,,734,5299,,,,5642,480,,5352,5775,478,,5454,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6809
2026-09-13 02:31,,,5943,,545,399,,,,5782,,,,440,388,1640,471,519,2967,,589,5503,4041,,,822,1070,,1083,3275,734,5354,,,,5642,,,5222,5775,478,,5549,5721,416,528,6067,1418,5854,,522,,,,4939,,,769,1994,6809
2026-09-13 02:41,,,5943,,545,399,,,,5782,,,,440,388,1640,471,519,2967,2367,589,5503,4041,4272,,797,1045,177,1083,3275,734,5354,,,,5642,,,5222,5775,478,,5549,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6809
2026-09-13 02:51,,,5943,,545,419,,,,5782,965,,,440,388,1640,471,519,2967,,589,,4041,4272,,822,1045,,1018,3275,704,5354,,,,5642,,,5352,5845,478,,5549,5721,416,528,6067,1418,5854,,522,,,,4939,,,709,1994,6809
