timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-20 00:01,632,1967,4893,,,459,1925,626,,1235,,,538,1920,,,3367,2452,694,4963,3887,1395,417,1473,4115,,,1891,579,571,,4797,570,647,,1863,1883,,493,1844,,4896,1891,656,548,6167,1538,6094,1930,562,426,1816,778,4549,,1801,709,1994,6664
2026-08-20 00:02,617,1897,4893,,,439,,611,,,,,508,1960,,,3367,2537,694,4963,,,417,1343,3975,614,,1866,564,556,,4797,555,647,,1863,1848,5005,478,1844,,4896,1821,626,548,6167,1538,5974,1890,562,411,1756,768,4549,,1801,739,1994,6664
2026-08-20 00:11,,,4893,,680,439,,611,,,624,,508,,631,519,3467,,694,,3887,1320,,1343,3975,614,4364,,564,,,4732,555,,4572,,1813,4935,478,1844,5264,4821,1786,,,6067,1538,5974,1930,,,,,4549,,,739,1994,6664
2026-08-20 00:21,,,4893,,680,,1890,,,1235,,,508,,631,519,3467,,694,5143,3887,1320,432,1538,4115,614,4364,,,,,4732,,,4637,1833,1848,5005,,1889,5264,4896,,,548,6167,1578,5974,1850,582,426,,,4549,504,,,1994,
2026-08-20 00:31,,,4893,,680,,1890,,,1235,644,,508,,631,519,3467,,694,5323,3887,1320,432,1538,4115,644,4364,,,,,4732,,,4637,1833,1848,5005,493,1889,5264,4896,,,548,6167,1578,5974,1850,582,426,,,4549,504,,,1994,
2026-08-20 00:41,,1897,4968,,680,439,1925,,,1190,624,,493,,671,519,3467,,729,5323,3887,1295,432,1538,4115,644,4364,,,,,4797,,,,,1883,5005,493,1889,5359,4896,1786,,568,6167,1578,6094,1890,562,426,,,4549,504,,,1994,6664
2026-08-20 00:51,,,4968,,680,439,1925,,,1190,,,,,671,519,3467,,729,5143,3887,1295,432,1473,3975,644,4364,,,,,4797,,,4702,,1883,5005,493,1889,5359,4896,1786,,568,6167,1578,6094,1890,562,426,,,4614,484,,739,1994,6664
2026-08-20 01:01,,1862,4968,,680,,1890,,,1190,664,,493,,671,519,3467,2537,694,5143,3887,1295,432,1538,3975,644,4419,,,,,4797,,,4702,,1813,5005,478,1889,5359,4896,1786,,568,6167,,6094,1890,582,426,,,4614,484,,,1994,6664
2026-08-20 01:11,,,4968,,680,439,1925,,,1235,624,,,,671,519,3467,,694,5143,3887,1295,432,1473,4115,644,4419,,,,,4797,,,4702,1803,1848,5005,493,1889,,4896,,,568,6167,1618,6094,1890,562,426,,,4614,504,,739,1994,6664
2026-08-20 01:21,,1862,4968,,680,439,1925,,,1235,,,493,,671,519,3467,2537,,5143,3887,1295,432,1538,3975,644,4419,,,,,4797,,,4702,,1848,5005,493,1889,5454,4896,1786,,548,6167,1618,6094,1890,562,426,,,4614,504,,,1994,6809
2026-08-20 01:31,,1862,4968,,680,439,1890,,,1235,644,,493,,671,519,3467,2537,694,5143,3887,1295,432,1538,3975,644,4419,,,,,4797,,,4702,,1883,5005,493,1889,5454,4896,1786,,568,6167,1618,6094,1890,562,426,,,4614,504,,739,1994,6809
2026-08-20 01:41,,,4968,,680,,1890,,,1235,644,,493,,671,519,3467,2537,,5143,3887,1320,432,1538,3975,644,4419,,,,,4797,,,4702,,1848,5005,493,1889,5454,4896,1786,,548,6167,1618,6094,1930,562,426,,,4614,504,,,1994,6809
2026-08-20 01:51,,,,,680,,,,,1280,684,,493,,671,519,3467,2537,694,5143,3887,1295,417,1538,3975,614,4419,,,,,4862,,,4702,,1848,5005,493,1889,5454,4896,1786,,,6167,1618,6094,1890,562,426,,,4614,504,,739,1994,6809
2026-08-20 02:01,,,4968,,680,,1855,,,1280,684,,508,1920,631,519,3467,2537,694,4963,3887,1320,432,1473,3975,614,4419,,,,,4862,,,4702,,1813,5005,493,1889,5454,4971,1786,,568,6167,1618,6094,1890,562,,,,4614,504,,,1994,6809
2026-08-20 02:11,,,5043,,680,439,1820,,,1190,684,,493,1920,,519,3467,2537,,4963,3887,1320,417,1473,3975,614,4419,,,,,4862,,,4767,,1813,5005,493,1889,5549,4971,1786,,568,6167,1618,6094,1930,562,426,,,4614,504,,739,1994,6664
2026-08-20 02:21,,,5043,,,439,1890,,,1190,704,,493,1920,671,519,3467,2452,694,4963,3887,1295,432,1538,,,4419,,,,,4862,,,4767,,1848,5005,493,1889,5644,4971,1786,,568,6167,1578,6094,1890,562,426,,,4614,504,,,1994,6809
2026-08-20 02:31,,,5043,,,439,1890,,,1190,704,,508,1920,671,,3467,2537,,4963,3942,1295,432,1473,4115,644,4419,,,,,4862,,,4702,,1813,5075,493,1844,5644,4971,1786,,548,6167,,6094,1930,562,426,,,4614,504,,,1994,6664
2026-08-20 02:41,,,5043,,,,1855,,,1190,704,,508,1920,631,519,3467,2452,694,4963,3942,1295,432,1538,4115,644,4419,,,,,4862,,,,,1813,5075,478,1844,5739,4971,1786,,548,6167,1618,6094,1890,562,426,,,4679,504,,,1994,6809
2026-08-20 02:51,,,5043,,,459,1855,,,1190,684,,493,,631,519,3467,2537,729,4963,3942,1295,432,1538,4115,704,4419,,,,,4862,,,4702,,1848,5075,493,,5739,4971,1786,,568,6167,1618,,,562,426,,,,464,,,1994,
