timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-19 00:01,617,1897,4893,680,,,551,785,1145,,388,,1880,631,519,3267,,,4783,3887,1345,417,,,614,4364,519,526,1881,,495,4637,1803,1813,5005,,,5264,4821,1821,596,548,6067,1538,5974,1770,,396,1696,768,4549,504,1681,679,1994,
2026-08-19 00:11,617,,4893,680,,,,,,,,478,,631,519,3367,2452,,4783,3887,,432,,,,4364,,526,,4797,495,4637,1803,1848,5005,463,1799,5264,4821,1751,581,548,6067,1538,5974,,562,411,,,4549,504,1721,679,1994,5939
2026-08-19 00:21,,,4893,725,399,,,,1145,664,,478,,631,519,3367,,694,,3887,,432,1343,3835,644,4419,,,,4797,495,4702,1803,1848,5005,463,1799,5264,4821,,,548,6067,1538,5974,1890,562,411,,,4549,504,1721,679,1994,
2026-08-19 00:31,,,4893,860,419,,566,,1145,644,,478,,631,519,3367,2537,694,4963,3887,,432,1408,3835,644,4419,,,,4797,495,4702,1803,1848,5005,463,1844,5264,4821,,,548,6067,1538,5974,,562,,,,4549,504,1721,679,1994,6084
2026-08-19 00:41,,,4968,860,419,1890,551,,1145,624,,478,1880,631,,3367,2452,694,4783,3887,,432,1408,3835,644,4419,,,,4862,495,4767,,1848,5005,463,1844,5359,4821,,,548,6167,1538,6094,,562,,,,4549,504,1721,679,1994,5939
2026-08-19 00:51,,,4968,860,439,,,,1190,644,,478,1880,631,519,3367,2452,694,4963,3887,,432,1408,3835,674,4419,,,,4862,510,4767,,1813,5005,478,1844,5359,4821,1751,,548,6167,1538,6094,1850,542,411,,,4614,504,1721,709,1994,
2026-08-19 01:01,,,4968,905,459,1890,566,,,,,478,,,519,3367,2452,694,4963,3887,,432,1408,3835,674,4419,,,,4862,510,4767,,1848,5075,478,1844,5359,4821,,,548,6167,1538,6094,1850,562,411,,,4614,504,1721,709,1994,6229
2026-08-19 01:11,,,4968,815,419,,566,,1235,644,,478,,631,519,3367,2537,694,4783,3942,,417,1408,3835,644,4419,,,,4862,510,4832,,1848,5075,478,1844,5359,4821,1751,,548,6167,1538,6094,1850,562,411,,,4614,504,1721,679,1994,
2026-08-19 01:21,,,4968,905,439,,566,,1235,624,,,,,519,3367,2537,694,4963,3942,,432,1408,3835,614,4419,,,,4862,510,4767,,1813,5075,463,1844,5454,4821,1751,,548,6167,1538,6094,1850,562,411,,,4614,504,1721,709,1994,6229
2026-08-19 01:31,,,4968,860,399,,566,,1190,624,,493,1880,631,519,3367,2452,694,4963,3942,,432,1408,3835,614,4419,,,,4862,510,4832,,1813,5075,478,1844,5454,4821,,,548,6167,1538,6094,,562,411,,,4614,504,1681,,1994,6229
2026-08-19 01:41,,,4968,815,399,,551,,1190,,,463,,,519,3367,2452,694,4963,3942,,432,1408,3975,,4419,,,,4862,510,4832,,,5075,478,1844,5454,4821,1751,,548,6167,1578,6094,1890,562,411,,,4614,504,1721,679,,6229
2026-08-19 01:51,,,5043,860,399,,566,,1235,684,,478,1880,,519,3367,2452,694,5143,3942,,417,1408,3975,644,4419,,,,4862,510,4832,,1813,5075,463,1844,5454,4896,,581,548,6167,1578,6094,1890,562,411,,,4614,524,1721,,1994,6229
2026-08-19 02:01,,,5043,860,399,,566,,1235,684,,478,1880,,519,3367,2452,694,5143,3942,,417,1408,3975,644,4419,,,,4862,510,4832,,1813,5075,463,1844,5454,4896,,581,548,6167,1578,6094,1890,562,411,,,4614,524,1721,,1994,6229
2026-08-19 02:11,,,5043,770,439,,566,,1190,684,,493,1880,631,519,3367,2452,694,4963,3942,,432,1408,3975,644,4419,,,,4862,510,4832,,1813,5075,478,1844,5454,4896,,581,548,6167,1578,6094,1890,562,411,,,4679,524,1681,709,1994,6229
2026-08-19 02:21,,,5043,815,459,,566,,1235,684,,478,1880,,519,3367,2537,694,5323,3942,,432,1408,3975,614,4419,,,,4862,510,4832,,1813,5075,478,1844,5454,4896,,,548,6167,1578,6094,1890,562,411,,,4679,524,1721,709,1994,6229
2026-08-19 02:31,,,5043,725,479,,566,,,664,,478,1880,,519,3367,,659,,3942,,,1473,3975,,4419,,,,4862,495,4832,,1813,5145,478,1844,5454,4896,,,548,6167,1578,6094,1890,562,411,,,,524,,679,1994,6229
2026-08-19 02:32,,,5043,725,479,,566,,1190,664,,478,1880,,519,3367,2537,659,4963,3942,,432,1473,3975,644,4419,,,,4862,495,4832,,1813,5145,478,1844,5454,4896,,,548,6167,1578,6094,1890,562,411,,,4744,,,679,1994,6229
2026-08-19 02:41,,,4968,725,479,,566,,,624,,463,1880,631,519,3267,2537,659,,3942,,417,1473,3975,644,4419,,,,4862,510,4767,,1848,5145,478,1844,,4896,1751,,548,6167,1538,6094,1850,562,411,,,4744,504,1681,709,1994,
